# Журнал долгих прогонов фаззера. Пишет soak.sh, сводка — ./sonder soak-total.
#
# Гейт Ф5 требует суток накопленного фаззинга; сумма столбца «секунд» —
# и есть накопленное, а «от» и «до» говорят, какие семена пройдены.
# Следующий прогон начинается за самым большим «до» по всему журналу:
# пространство семян общее для таргетов, чтобы два из них не гоняли
# молча один и тот же вход, называя это независимым накоплением.
#
# Строк на один запуск может быть несколько: накопленное откладывается
# сюда каждые десять минут. Прогон на несколько часов, пишущий итог
# только в конце, теряет всё, если его прервали на последней минуте, —
# а прерывают именно долгие.
#
# Исход «НАРУШЕНИЕ:470» называет упавшее семя. Диапазон у такой строки
# может быть перевёрнут («от 470 до 469»): отрезок не довёл до конца ни
# одного семени, и следующий запуск начнётся именно с упавшего.
#
# ПЕРВЫЕ ДВЕ СТРОКИ ПЕРЕНЕСЕНЫ ИЗ docs/PLAN.md, где прежние прогоны
# записаны текстом: журнала тогда ещё не было. Время и семена в них
# точные. У строки DOSBox счётчики не были записаны подробно — известен
# только общий объём, 736 000 случаев XML и столько же кадров, — поэтому
# все четыре столбца счётчиков стоят нулями, и суммы по ним занижены
# ровно на эту величину. Занижать безопаснее, чем выдумывать разбивку.
#
# когда	таргет	секунд	прогонов	от	до	xml_ok	xml_bad	frame_ok	frame_corrupt	исход
2026-09-01	native	720	250	1	250	13496477	61503523	56259365	18740635	чисто
2026-09-01	msdos	1500	184	251	434	0	0	0	0	чисто
2026-09-02T14:31:30Z	native	21	10	435	444	360176	1639824	1499766	500234	чисто
2026-09-02T14:31:50Z	native	20	10	445	454	359117	1640883	1499154	500846	чисто
2026-09-02T14:32:10Z	native	20	10	455	464	360723	1639277	1500938	499062	чисто
2026-09-02T14:32:19Z	native	9	5	465	469	179327	820673	750289	249711	чисто
2026-09-02T14:46:40Z	native	600	240	470	709	8635214	39364786	36006349	11993651	чисто
2026-09-02T14:56:43Z	native	603	201	710	910	7233222	32966778	30153792	10046208	чисто
2026-09-02T15:06:43Z	native	600	287	911	1197	10332359	47067641	43062874	14337126	чисто
2026-09-02T15:16:43Z	native	600	285	1198	1482	10254108	46745892	42758299	14241701	чисто
2026-09-02T15:26:44Z	native	601	279	1483	1761	10038193	45761807	41860753	13939247	чисто
2026-09-02T15:36:41Z	native	597	286	1762	2047	10285675	46914325	42909018	14290982	чисто
2026-09-02T15:46:09Z	native	600	264	1762	2025	9494114	43305886	39610986	13189014	чисто
2026-09-02T15:56:10Z	native	601	243	2026	2268	8743814	39856186	36449616	12150384	чисто
2026-09-02T17:26:33Z	native	5423	261	2269	2529	9388353	42811647	39155090	13044910	чисто
2026-09-02T17:37:24Z	native	601	296	2530	2825	10651938	48548062	44407645	14792355	чисто
2026-09-02T17:47:24Z	native	600	294	2826	3119	10579317	48220683	44107859	14692141	чисто
2026-09-02T17:57:25Z	native	601	285	3120	3404	10251980	46748020	42757495	14242505	чисто
2026-09-02T18:07:25Z	native	600	296	3405	3700	10648504	48551496	44404225	14795775	чисто
2026-09-02T18:17:26Z	native	601	309	3701	4009	11117535	50682465	46363807	15436193	чисто
2026-09-02T18:27:23Z	native	597	281	4010	4290	10111809	46088191	42153369	14046631	чисто
2026-09-02T18:31:14Z	native	601	277	4010	4286	9967389	45432611	41553322	13846678	чисто
2026-09-02T18:41:14Z	native	600	271	4287	4557	9747324	44452676	40658914	13541086	чисто
2026-09-02T18:51:14Z	native	600	276	4558	4833	9929466	45270534	41408112	13791888	чисто
2026-09-03T05:49:25Z	native	601	246	4834	5079	8853887	40346113	36912150	12287850	чисто
2026-09-03T05:59:25Z	native	600	207	5080	5286	7451432	33948568	31053933	10346067	чисто
2026-09-03T06:09:25Z	native	600	311	5287	5597	11186835	51013165	46660183	15539817	чисто
2026-09-03T06:19:25Z	native	600	323	5598	5920	11624521	52975479	48458164	16141836	чисто
2026-09-03T06:29:25Z	native	600	347	5921	6267	12487520	56912480	52060758	17339242	чисто
2026-09-03T06:39:25Z	native	600	347	6268	6614	12491470	56908530	52061323	17338677	чисто
2026-09-03T06:40:15Z	native	5	3	6615	6617	108117	491883	450363	149637	чисто
2026-09-03T06:50:52Z	native	600	335	6618	6952	12054210	54945790	50257388	16742612	чисто
2026-09-03T07:00:52Z	native	600	317	6953	7269	11409132	51990868	47558179	15841821	чисто
2026-09-03T07:10:53Z	native	601	317	7270	7586	11398934	52001066	47560481	15839519	чисто
2026-09-03T07:20:54Z	native	601	317	7587	7903	11403895	51996105	47558607	15841393	чисто
2026-09-03T07:30:55Z	native	601	304	7904	8207	10935543	49864457	45603917	15196083	чисто
2026-09-03T07:35:53Z	native	298	148	8208	8355	5321799	24278201	22202297	7397703	чисто
2026-09-03T08:11:48Z	native	600	319	8356	8674	11476786	52323214	47851290	15948710	чисто
2026-09-03T08:21:48Z	native	600	321	8675	8995	11552278	52647722	48162715	16037285	чисто
2026-09-03T08:31:48Z	native	600	231	8996	9226	8311584	37888416	34655718	11544282	чисто
2026-09-03T08:41:49Z	native	601	143	9227	9369	5145272	23454728	21453471	7146529	чисто
2026-09-03T08:51:49Z	native	600	192	9370	9561	6909355	31490645	28805065	9594935	чисто
2026-09-03T09:01:50Z	native	601	170	9562	9731	6116956	27883044	25502503	8497497	чисто
2026-09-03T09:18:04Z	native	601	227	9732	9958	8164733	37235267	34053564	11346436	чисто
2026-09-03T09:28:05Z	native	601	175	9959	10133	6299559	28700441	26251604	8748396	чисто
2026-09-03T09:38:05Z	native	600	234	10134	10367	8415663	38384337	35107955	11692045	чисто
2026-09-03T09:48:08Z	native	603	166	10368	10533	5972378	27227622	24908310	8291690	чисто
2026-09-03T09:58:08Z	native	600	133	10534	10666	4783591	21816409	19954688	6645312	чисто
2026-09-03T10:08:12Z	native	604	133	10667	10799	4783213	21816787	19954427	6645573	чисто
2026-09-03T10:18:13Z	native	601	120	10800	10919	4320062	19679938	18004145	5995855	чисто
2026-09-03T10:28:14Z	native	601	117	10920	11036	4213024	19186976	17551584	5848416	чисто
2026-09-03T10:38:20Z	native	606	95	11037	11131	3419392	15580608	14251874	4748126	чисто
2026-09-03T10:48:21Z	native	600	111	11132	11242	3993877	18206123	16653911	5546089	чисто
2026-09-03T10:58:24Z	native	603	107	11243	11349	3850867	17549133	16053375	5346625	чисто
2026-09-03T11:08:04Z	native	580	95	11350	11444	3419323	15580677	14254080	4745920	чисто
2026-09-03T11:19:44Z	native	602	126	11445	11570	4536261	20663739	18900555	6299445	чисто
2026-09-03T11:29:45Z	native	601	133	11571	11703	4786084	21813916	19952928	6647072	чисто
2026-09-03T11:39:48Z	native	603	200	11704	11903	7192224	32807776	30001690	9998310	чисто
2026-09-03T11:49:49Z	native	601	184	11904	12087	6620042	30179958	27601996	9198004	чисто
2026-09-03T11:59:49Z	native	600	261	12088	12348	9389564	42810436	39154697	13045303	чисто
2026-09-03T12:09:50Z	native	601	284	12349	12632	10219686	46580314	42606807	14193193	чисто
2026-09-03T12:19:50Z	native	600	257	12633	12889	9243735	42156265	38558941	12841059	чисто
2026-09-03T13:07:18Z	native	601	250	12890	13139	8993957	41006043	37506984	12493016	чисто
2026-09-03T13:17:19Z	native	601	249	13140	13388	8959899	40840101	37361167	12438833	чисто
2026-09-03T13:27:19Z	native	600	256	13389	13644	9212007	41987993	38409621	12790379	чисто
2026-09-03T13:37:20Z	native	601	262	13645	13906	9424739	42975261	39309717	13090283	чисто
2026-09-03T13:47:20Z	native	600	270	13907	14176	9719307	44280693	40505556	13494444	чисто
2026-09-03T13:57:21Z	native	601	268	14177	14444	9646138	43953862	40204700	13395300	чисто
2026-09-03T14:07:22Z	native	601	278	14445	14722	9996521	45603479	41707726	13892274	чисто
2026-09-03T14:17:22Z	native	600	264	14723	14986	9501030	43298970	39609998	13190002	чисто
2026-09-03T14:27:22Z	native	600	283	14987	15269	10183195	46416805	42458298	14141702	чисто
2026-09-03T14:37:23Z	native	601	274	15270	15543	9855652	44944348	41104617	13695383	чисто
2026-09-03T14:47:23Z	native	600	277	15544	15820	9966905	45433095	41553757	13846243	чисто
2026-09-03T14:57:24Z	native	600	241	15821	16061	8668306	39531694	36158135	12041865	чисто
2026-09-03T15:14:03Z	msdos	102	19	16062	16080	6860	31140	28452	9548	чисто
2026-09-03T15:14:36Z	msdos	22	8	16081	16088	722	3278	3011	989	чисто
2026-09-03T15:15:00Z	native	22	8	16089	16096	287542	1312458	1201114	398886	чисто
2026-09-03T15:25:17Z	msdos	604	113	16097	16209	40589	185411	169404	56596	чисто
2026-09-03T15:49:10Z	msdos	602	138	16210	16347	49551	226449	206910	69090	чисто
2026-09-03T15:59:12Z	msdos	602	139	16348	16486	50173	227827	208208	69792	чисто
2026-09-03T16:09:14Z	msdos	602	145	16487	16631	51897	238103	217611	72389	чисто
2026-09-03T16:19:15Z	msdos	601	147	16632	16778	52885	241115	220595	73405	чисто
2026-09-03T16:29:17Z	msdos	602	147	16779	16925	52948	241052	220266	73734	чисто
2026-09-03T16:39:19Z	msdos	602	149	16926	17074	53589	244411	223635	74365	чисто
2026-09-03T16:49:21Z	msdos	602	149	17075	17223	53550	244450	223491	74509	чисто
2026-09-03T16:59:23Z	msdos	602	148	17224	17371	53509	242491	221496	74504	чисто
2026-09-03T17:09:24Z	msdos	601	149	17372	17520	53515	244485	223353	74647	чисто
2026-09-03T17:19:25Z	msdos	601	149	17521	17669	53736	244264	223501	74499	чисто
2026-09-03T17:29:26Z	msdos	601	143	17670	17812	51312	234688	214423	71577	чисто
2026-09-03T17:39:28Z	msdos	602	140	17813	17952	49933	230067	209942	70058	чисто
2026-09-03T17:49:28Z	msdos	600	146	17953	18098	52861	239139	219335	72665	чисто
2026-09-03T17:59:30Z	msdos	602	148	18099	18246	53553	242447	221902	74098	чисто
2026-09-03T18:09:31Z	msdos	601	147	18247	18393	53232	240768	220704	73296	чисто
2026-09-03T18:19:33Z	msdos	602	149	18394	18542	53829	244171	223458	74542	чисто
2026-09-03T18:29:34Z	msdos	601	146	18543	18688	52328	239672	219272	72728	чисто
2026-09-03T18:39:35Z	msdos	601	145	18689	18833	52148	237852	217568	72432	чисто
2026-09-03T18:49:38Z	msdos	603	148	18834	18981	53228	242772	221996	74004	чисто
2026-09-03T18:59:40Z	msdos	602	149	18982	19130	53778	244222	223388	74612	чисто
2026-09-03T19:09:43Z	msdos	602	148	19131	19278	53086	242914	222051	73949	чисто
2026-09-03T19:19:43Z	msdos	600	147	19279	19425	52890	241110	220387	73613	чисто
2026-09-03T19:29:48Z	msdos	605	125	19426	19550	44956	205044	187769	62231	чисто
2026-09-03T19:39:50Z	msdos	602	112	19551	19662	40195	183805	167789	56211	чисто
2026-09-03T19:49:52Z	msdos	602	118	19663	19780	42421	193579	177146	58854	чисто
2026-09-04T07:19:55Z	msdos	603	118	19781	19898	42510	193490	177212	58788	чисто
2026-09-04T07:30:02Z	msdos	607	94	19899	19992	33496	154504	141355	46645	чисто
2026-09-04T07:40:07Z	msdos	605	96	19993	20088	34391	157609	144102	47898	чисто
2026-09-04T07:50:10Z	msdos	603	79	20089	20167	28558	129442	118615	39385	чисто
2026-09-04T08:00:14Z	msdos	604	60	20168	20227	21521	98479	89831	30169	чисто
2026-09-04T08:10:14Z	msdos	600	77	20228	20304	27555	126445	115611	38389	чисто
2026-09-04T08:20:18Z	msdos	604	87	20305	20391	31220	142780	130509	43491	чисто
2026-09-04T08:30:21Z	msdos	603	102	20392	20493	36790	167210	152587	51413	чисто
2026-09-04T08:40:21Z	msdos	600	101	20494	20594	36516	165484	151704	50296	чисто
2026-09-04T08:57:37Z	native	600	213	20595	20807	7657499	34942501	31952733	10647267	чисто
2026-09-04T09:07:37Z	native	600	226	20808	21033	8129831	37070169	33901415	11298585	чисто
2026-09-04T09:17:38Z	native	601	311	21034	21344	11193103	51006897	46661644	15538356	чисто
2026-09-04T09:27:39Z	native	601	319	21345	21663	11478662	52321338	47867167	15932833	чисто
2026-09-04T09:37:39Z	native	600	253	21664	21916	9102674	41497326	37952938	12647062	чисто
2026-09-04T09:47:39Z	native	600	271	21917	22187	9756967	44443033	40654737	13545263	чисто
2026-09-04T09:57:40Z	native	601	193	22188	22380	6947625	31652375	28956052	9643948	чисто
2026-09-04T10:07:40Z	native	600	228	22381	22608	8201648	37398352	34207020	11392980	чисто
2026-09-04T10:17:40Z	native	600	259	22609	22867	9319579	42480421	38856942	12943058	чисто
2026-09-04T10:27:40Z	native	600	258	22868	23125	9282876	42317124	38708591	12891409	чисто
2026-09-04T10:37:42Z	native	602	215	23126	23340	7732260	35267740	32253605	10746395	чисто
2026-09-04T10:47:46Z	native	604	191	23341	23531	6872220	31327780	28655009	9544991	чисто
2026-09-04T10:57:46Z	native	600	152	23532	23683	5467225	24932775	22803793	7596207	чисто
2026-09-04T11:07:46Z	native	600	129	23684	23812	4638922	21161078	19355136	6444864	чисто
2026-09-04T11:17:48Z	native	602	225	23813	24037	8098390	36901610	33762054	11237946	чисто
2026-09-04T11:27:49Z	native	601	191	24038	24228	6868754	31331246	28653374	9546626	чисто
2026-09-04T11:37:50Z	native	601	309	24229	24537	11117291	50682709	46361449	15438551	чисто
2026-09-04T11:47:50Z	native	600	335	24538	24872	12051114	54948886	50253870	16746130	чисто
2026-09-04T11:57:50Z	native	600	336	24873	25208	12089960	55110040	50412527	16787473	чисто
2026-09-04T12:07:50Z	native	600	321	25209	25529	11545254	52654746	48164382	16035618	чисто
2026-09-04T12:17:50Z	native	600	264	25530	25793	9500152	43299848	39612051	13187949	чисто
2026-09-04T12:27:50Z	native	600	277	25794	26070	9965935	45434065	41563255	13836745	чисто
2026-09-04T12:37:50Z	native	600	309	26071	26379	11120666	50679334	46354370	15445630	чисто
2026-09-04T12:47:50Z	native	600	337	26380	26716	12129383	55270617	50559279	16840721	чисто
2026-09-04T12:57:50Z	native	600	324	26717	27040	11658741	53141259	48610265	16189735	чисто
2026-09-04T13:07:50Z	native	600	326	27041	27366	11727454	53472546	48909697	16290303	чисто
2026-09-04T13:17:51Z	native	601	317	27367	27683	11402808	51997192	47558063	15841937	чисто
2026-09-04T13:27:52Z	native	601	329	27684	28012	11836635	53963365	49358454	16441546	чисто
2026-09-04T13:37:52Z	native	600	279	28013	28291	10035850	45764150	41858858	13941142	чисто
2026-09-04T13:47:52Z	native	600	321	28292	28612	11547306	52652694	48159585	16040415	чисто
2026-09-04T13:57:53Z	native	601	311	28613	28923	11187928	51012072	46658419	15541581	чисто
2026-09-04T14:07:54Z	native	601	216	28924	29139	7772638	35427362	32402625	10797375	чисто
2026-09-04T14:17:54Z	native	600	241	29140	29380	8674089	39525911	36155811	12044189	чисто
2026-09-04T14:27:55Z	native	601	207	29381	29587	7450344	33949656	31057613	10342387	чисто
2026-09-04T14:37:55Z	native	600	183	29588	29770	6584623	30015377	27453651	9146349	чисто
2026-09-04T14:47:37Z	native	582	226	29771	29996	8131194	37068806	33909698	11290302	чисто
2026-09-04T14:57:39Z	native	600	202	29997	30198	7265554	33134446	30305867	10094133	чисто
2026-09-04T15:07:39Z	native	600	228	30199	30426	8201658	37398342	34202537	11397463	чисто
2026-09-04T15:17:40Z	native	601	281	30427	30707	10111258	46088742	42159879	14040121	чисто
2026-09-04T15:27:40Z	native	600	312	30708	31019	11227560	51172440	46808695	15591305	чисто
2026-09-04T15:37:41Z	native	600	312	31020	31331	11227145	51172855	46808582	15591418	чисто
2026-09-04T15:47:41Z	native	600	313	31332	31644	11258985	51341015	46957387	15642613	чисто
2026-09-04T15:57:42Z	native	601	303	31645	31947	10906917	49693083	45458599	15141401	чисто
2026-09-04T16:07:43Z	native	601	255	31948	32202	9174430	41825570	38253475	12746525	чисто
2026-09-04T16:17:43Z	native	600	267	32203	32469	9606415	43793585	40055158	13344842	чисто
2026-09-04T16:27:44Z	native	601	270	32470	32739	9712826	44287174	40517024	13482976	чисто
2026-09-04T16:37:44Z	native	600	314	32740	33053	11293057	51506943	47111233	15688767	чисто
2026-09-04T16:47:44Z	native	600	321	33054	33374	11550683	52649317	48160900	16039100	чисто
2026-09-04T16:57:45Z	native	601	321	33375	33695	11562784	52637216	48159386	16040614	чисто
2026-09-04T17:07:46Z	native	601	320	33696	34015	11514121	52485879	48009965	15990035	чисто
2026-09-04T17:17:47Z	native	601	319	34016	34334	11480219	52319781	47854256	15945744	чисто
2026-09-04T17:27:48Z	native	601	321	34335	34655	11547170	52652830	48157928	16042072	чисто
2026-09-04T17:37:48Z	native	600	321	34656	34976	11545633	52654367	48157492	16042508	чисто
2026-09-04T17:47:49Z	native	601	319	34977	35295	11473422	52326578	47860678	15939322	чисто
