# Lines still containing Cyrillic, per file. Generated; see
# ops/ci/check-language.py. The count may only go down: this file is
# a ratchet, and its diff is the record of the migration to English.
#
# path	lines
.gitattributes	8
.github/workflows/ci.yml	41
.github/workflows/nightly.yml	29
.gitignore	15
Makefile	13
README.md	85
contracts/README.md	43
contracts/events/events.yaml	51
contracts/generated/domain/createpost.tsv	1
contracts/generated/domain/registeruser.tsv	1
contracts/generated/envelopes/ban-user.xml	1
contracts/generated/envelopes/create-comment.xml	1
contracts/generated/envelopes/create-post.xml	1
contracts/generated/envelopes/register-user.xml	1
contracts/generated/operations.json	1
contracts/idl/enrichment-v1.idl	23
contracts/openapi/social-v1.yaml	87
contracts/reports/digest-v1.yaml	42
contracts/soap/decider-v1.wsdl	65
core/pom.xml	76
core/src/main/java/sonder/Application.java	7
core/src/main/java/sonder/contract/ErrorCode.java	11
core/src/main/java/sonder/gateway/LineTransport.java	74
core/src/main/java/sonder/gateway/LineTransportConfig.java	33
core/src/main/java/sonder/gateway/NodeHealth.java	26
core/src/main/java/sonder/gateway/NodeProbe.java	34
core/src/main/java/sonder/gateway/NodeProbeSchedule.java	12
core/src/main/java/sonder/gateway/line/Crc16.java	13
core/src/main/java/sonder/gateway/line/Frame.java	18
core/src/main/java/sonder/gateway/line/FrameCodec.java	7
core/src/main/java/sonder/gateway/line/FrameDecoder.java	23
core/src/main/java/sonder/gateway/line/LineMux.java	51
core/src/main/java/sonder/gateway/line/LineServer.java	59
core/src/main/java/sonder/gateway/soap/Envelopes.java	31
core/src/main/java/sonder/gateway/soap/LineDecider.java	21
core/src/main/java/sonder/report/DigestExport.java	67
core/src/main/java/sonder/report/DigestRecord.java	25
core/src/main/java/sonder/shell/app/CommandFlow.java	38
core/src/main/java/sonder/shell/app/CommandRunner.java	31
core/src/main/java/sonder/shell/app/ConnectionSource.java	5
core/src/main/java/sonder/shell/app/CreatePostHandler.java	17
core/src/main/java/sonder/shell/app/DeletePostHandler.java	17
core/src/main/java/sonder/shell/app/Events.java	12
core/src/main/java/sonder/shell/app/UserHandlers.java	22
core/src/main/java/sonder/shell/app/VersionConflict.java	9
core/src/main/java/sonder/shell/auth/Login.java	49
core/src/main/java/sonder/shell/auth/LoginAttempts.java	42
core/src/main/java/sonder/shell/auth/Passwords.java	21
core/src/main/java/sonder/shell/auth/SessionStore.java	45
core/src/main/java/sonder/shell/auth/Tokens.java	14
core/src/main/java/sonder/shell/decider/DeciderConfig.java	44
core/src/main/java/sonder/shell/decider/DeciderFaults.java	27
core/src/main/java/sonder/shell/decider/UnavailableDecider.java	17
core/src/main/java/sonder/shell/enrichment/EnrichmentClient.java	17
core/src/main/java/sonder/shell/enrichment/EnrichmentConfig.java	17
core/src/main/java/sonder/shell/enrichment/EnrichmentServant.java	38
core/src/main/java/sonder/shell/enrichment/EnrichmentServer.java	32
core/src/main/java/sonder/shell/irc/IrcCast.java	33
core/src/main/java/sonder/shell/irc/IrcFeedListener.java	34
core/src/main/java/sonder/shell/irc/IrcLine.java	36
core/src/main/java/sonder/shell/irc/IrcServer.java	91
core/src/main/java/sonder/shell/irc/IrcServerConfig.java	12
core/src/main/java/sonder/shell/irc/IrcSession.java	110
core/src/main/java/sonder/shell/obs/Metrics.java	132
core/src/main/java/sonder/shell/outbox/Backoff.java	24
core/src/main/java/sonder/shell/outbox/Outbox.java	61
core/src/main/java/sonder/shell/outbox/OutboxDoorbell.java	82
core/src/main/java/sonder/shell/outbox/OutboxDrainer.java	55
core/src/main/java/sonder/shell/outbox/OutboxEvent.java	3
core/src/main/java/sonder/shell/outbox/OutboxPump.java	31
core/src/main/java/sonder/shell/outbox/OutboxRecord.java	2
core/src/main/java/sonder/shell/outbox/OutboxSchedule.java	26
core/src/main/java/sonder/shell/outbox/OutboxWatch.java	29
core/src/main/java/sonder/shell/outbox/Payloads.java	15
core/src/main/java/sonder/shell/projection/FeedProjection.java	78
core/src/main/java/sonder/shell/rest/AuthController.java	48
core/src/main/java/sonder/shell/rest/ErrorEnvelope.java	54
core/src/main/java/sonder/shell/rest/EventsController.java	17
core/src/main/java/sonder/shell/rest/FeedController.java	31
core/src/main/java/sonder/shell/rest/FeedCursor.java	19
core/src/main/java/sonder/shell/rest/PostController.java	20
core/src/main/java/sonder/shell/rest/RestErrors.java	23
core/src/main/java/sonder/shell/rest/SessionCookie.java	26
core/src/main/java/sonder/shell/rest/Trace.java	28
core/src/main/java/sonder/shell/rest/TraceFilter.java	33
core/src/main/java/sonder/shell/rest/UserController.java	19
core/src/main/java/sonder/shell/state/StateLoader.java	35
core/src/main/java/sonder/shell/store/CommentEntity.java	5
core/src/main/java/sonder/shell/store/PostEntity.java	6
core/src/main/java/sonder/shell/store/PostStore.java	25
core/src/main/java/sonder/shell/store/SessionEntity.java	7
core/src/main/java/sonder/shell/store/UserEntity.java	16
core/src/main/java/sonder/shell/store/UserStore.java	14
core/src/main/java/sonder/shell/stream/FeedListener.java	23
core/src/main/java/sonder/shell/stream/FeedStream.java	62
core/src/main/resources/application.yml	106
core/src/main/resources/db/migration/V1__baseline.sql	48
core/src/main/resources/db/migration/V2__outbox_backoff.sql	13
core/src/main/resources/db/migration/V3__feed_projection.sql	28
core/src/main/resources/db/migration/V4__feed_subscriptions.sql	26
core/src/main/resources/db/migration/V5__feed_subscriptions_backfill.sql	6
core/src/main/resources/db/migration/V6__outbox_doorbell.sql	17
core/src/main/resources/db/migration/V7__login_attempts.sql	23
core/src/main/resources/db/migration/V8__session_token_hash.sql	32
core/src/test/java/sonder/arch/ArchitectureTest.java	61
core/src/test/java/sonder/arch/EventsOwnsItsDataTest.java	33
core/src/test/java/sonder/arch/LiveContextsDieWithClassTest.java	23
core/src/test/java/sonder/auth/CredentialsTest.java	53
core/src/test/java/sonder/contract/EnvelopeGoldenTest.java	100
core/src/test/java/sonder/decider/SoapDeciderTest.java	73
core/src/test/java/sonder/gateway/BackpressureTest.java	49
core/src/test/java/sonder/gateway/FrameGoldenTest.java	63
core/src/test/java/sonder/gateway/LineDeciderTest.java	46
core/src/test/java/sonder/gateway/LineMuxTest.java	84
core/src/test/java/sonder/gateway/LineServerTest.java	60
core/src/test/java/sonder/gateway/LineTransportWiringTest.java	107
core/src/test/java/sonder/gateway/NodeE2EIT.java	71
core/src/test/java/sonder/gateway/NodeHealthTest.java	55
core/src/test/java/sonder/gateway/ReplyGoldenTest.java	92
core/src/test/java/sonder/irc/IrcCastTest.java	37
core/src/test/java/sonder/irc/IrcLineTest.java	30
core/src/test/java/sonder/irc/IrcSessionTest.java	86
core/src/test/java/sonder/outbox/OutboxTickerTest.java	17
core/src/test/java/sonder/rest/RestContractTest.java	47
core/src/test/java/sonder/shell/fixture/EntityWithoutVersion.java	4
core/src/test/java/sonder/shell/fixture/ShellThatDecides.java	6
core/src/test/java/sonder/store/AuthHttpIT.java	163
core/src/test/java/sonder/store/DeletePostFlowIT.java	47
core/src/test/java/sonder/store/DrainBenchIT.java	86
core/src/test/java/sonder/store/EnrichmentIT.java	66
core/src/test/java/sonder/store/EventsHttpIT.java	47
core/src/test/java/sonder/store/FeedHttpIT.java	59
core/src/test/java/sonder/store/FeedProjectionIT.java	83
core/src/test/java/sonder/store/FeedStreamIT.java	36
core/src/test/java/sonder/store/FirebirdSupport.java	29
core/src/test/java/sonder/store/GuestAccessIT.java	174
core/src/test/java/sonder/store/IrcGatewayIT.java	126
core/src/test/java/sonder/store/OptimisticLockIT.java	45
core/src/test/java/sonder/store/OutboxDoorbellIT.java	32
